,collocate,raw_frequency,MI
1805,"hints.""",2,8.723252467365532
1806,"sir?""",421,4.06691399480304
1807,gloomily.,55,5.409066462693006
1808,"""First,""",5,7.8069617354913765
1809,Brown,346,3.5699608728677528
1810,discredited,11,7.018504375127106
1811,family,2497,1.5935543576457034
1812,threatening,147,4.42596706114674
1813,extraordinary,759,2.7843978705298467
1814,exposures,2,8.723252467365532
1815,parts,346,3.5699608728677528
1816,mauls,1,9.416399647925477
1817,our,15512,1.846471992682825
1818,bodies;,13,6.85145029046394
1819,parson,332,4.304411859568933
1820,too,10409,2.111883701465322
1821,much;,167,4.991553016068667
1822,divinity,25,6.197523823057276
1823,arm,1696,2.673519012133574
1824,inquire,261,4.545026421162729
1825,Not,2090,1.7714803029666202
1826,content,529,3.145411216067177
1827,pronounced,339,4.976693901664917
1828,Lorna,321,3.644958524795461
1829,dead;,125,4.5880859106231755
1830,drinking,369,3.5056030038849495
1831,beer,164,4.316533220101278
1832,determine,65,5.242012378029839
1833,'Dear,73,5.125940206777086
1834,"cousin,",391,3.4476920879401107
1835,best.,279,3.785187866104111
1836,Annie,238,3.944128974254002
1837,tell.,187,4.18529103107089
1838,once;,174,4.257344348710948
1839,white,4876,0.9243191573243147
1840,rule,336,3.5992884879622724
1841,knowledge,1406,2.1678955755548666
1842,spirits,567,3.076040344197725
1843,whose,4631,0.9758715414447249
1844,brain,509,3.183951631374954
1845,"young,",480,3.2426135440235404
1846,"Opener-of-Roads?""",2,8.723252467365532
1847,generations?,2,8.723252467365532
1848,"slight,",92,4.8946110708764365
1849,Goroko,27,6.120562781921148
1850,native,581,3.0516488910735653
1851,fashion.,174,4.257344348710948
1852,principal,259,3.859571586225939
1853,names,581,3.0516488910735653
1854,"Zikali,",31,5.982412443440331
1855,"Opener-of-Roads,",11,7.018504375127106
1856,dared,637,2.9596299923533134
1857,try,1967,1.8321348295364177
1858,knowing,1394,2.1764670566050075
1859,drug,31,5.982412443440331
1860,"Gibson,",254,3.8790653809069404
1861,"neighbourhood,",178,4.234616097633392
1862,Hall,422,3.371394333889465
1863,heal,46,5.587758251436382
1864,cherish,105,4.762439297767953
1865,eyesight.,2,8.723252467365532
1866,younger,763,2.7791416166410197
1867,carried,1875,2.9786479981890754
1868,day;,335,3.6022691161004103
1869,nearly,1705,2.668226438767805
1870,"comfortable,",94,4.873104865655473
1871,"clever,",177,4.240249915351647
